Data_reportada,Pais,Regiao,Estado,Qtd_Casos
2016-06-11,Brazil,Norte,Roraima,83
2016-06-11,Brazil,Norte,Para,2121
2016-06-11,Brazil,Norte,Amapa,189
2016-06-11,Brazil,Norte,Tocantins,2795
2016-06-11,Brazil,Nordeste,Maranhao,2840
2016-06-11,Brazil,Nordeste,Piaui,241
2016-06-11,Brazil,Nordeste,Ceara,2358
2016-06-11,Brazil,Nordeste,Rio_Grande_do_Norte,2342
2016-06-11,Brazil,Nordeste,Paraiba,2889
2016-06-11,Brazil,Nordeste,Pernambuco,394
2016-06-11,Brazil,Nordeste,Alagoas,3847
2016-06-11,Brazil,Nordeste,Sergipe,491
2016-06-11,Brazil,Nordeste,Bahia,46427
2016-06-11,Brazil,Sudeste,Minas_Gerais,12891
2016-06-11,Brazil,Sudeste,Espirito_Santo,2166
2016-06-11,Brazil,Sudeste,Rio_de_Janeiro,46027
2016-06-11,Brazil,Sudeste,Sao_Paulo,4736
2016-06-11,Brazil,Sul,Parana,1935
2016-06-11,Brazil,Sul,Santa_Catarina,97
2016-06-11,Brazil,Sul,Rio_Grande_do_Sul,360
2016-06-11,Brazil,Centro_Oeste,Mato_Grosso_do_Sul,762
2016-06-11,Brazil,Centro_Oeste,Mato_Grosso,19985
2016-06-11,Brazil,Centro_Oeste,Goias,4132
2016-06-11,Brazil,Centro_Oeste,Distrito_Federal,367
